player_name,Size,Explosiveness,Strength,career_length,overall_pick,age_at_draft,organization_type,position,greatest_75
Bernard Robinson,-0.7242123950207999,0.12020927577333652,0.5322586543381905,3.0,45,24.0,College/University,SG-SF,N
Nate Robinson,-6.019917770485683,1.3008281487677507,1.2340986412324466,11.0,21,20.0,College/University,PG,N
Josh Smith,-0.08480409890730234,1.7201971908402571,-0.5960492055446525,14.0,17,19.0,High School,SG-SF,N
J.R. Smith,-0.3051586528089234,-0.2632897522431422,-0.32927571015647356,16.0,18,19.0,High School,SG-SF,N
Kirk Snyder,-0.25589621926316225,1.295155526258038,1.9405888369664126,4.0,16,21.0,College/University,SG-SF,N
Pape Sow,2.5640014217317244,0.6097372719962246,0.9474060882167739,3.0,47,23.0,College/University,PF-C,N
Beno Udrih,-1.5986495140405552,-1.6868598066695892,0.5000425168075621,13.0,28,22.0,Other Team/Club,PG,N
Delonte West,-2.150510227628766,-0.5280692008497634,0.6851672939165329,8.0,24,21.0,College/University,PG-SG,N
Alex Acker,0.13003881980316417,-1.269443869625928,-0.09927105224160934,4.0,60,22.0,College/University,SG,N
Martynas Andriuskevicius,3.6790880277689255,-2.5031569134383185,-1.5158920787953425,2.0,44,19.0,Other Team/Club,C-PF,N
Andrew Bogut,3.4700939789273226,0.29728568659207144,-0.5539468563573196,14.0,1,21.0,College/University,C-PF,N
Travis Diener,-2.9036609723779194,-4.27371208223796,0.8218826830211509,5.0,38,23.0,College/University,PG-SG,N
Ike Diogu,2.9900931512109254,0.7316679136243281,0.8111952864679798,7.0,9,22.0,College/University,PF,N
Monta Ellis,-1.1729153991169552,-3.488042905914649,-0.4197586051318892,12.0,40,20.0,High School,SG-PG,N
Raymond Felton,-2.899169048405455,-1.303367776547023,0.843116302369587,14.0,5,21.0,College/University,PG,N
Rudy Fernandez,-1.4553674938483663,-2.3910793819432854,-0.7075595751060652,9.0,24,20.0,Other Team/Club,SG,N
Channing Frye,2.8661128528650917,0.6335822369414009,0.49031049523964154,14.0,8,22.0,College/University,PF-C,N
Francisco Garcia,-0.21179962318312057,-1.7393954280970472,-0.3066138089775717,10.0,23,24.0,College/University,SF-SG,N
Marcin Gortat,1.9714741125028343,1.6256206874332852,-0.2533843680448829,12.0,57,21.0,Other Team/Club,PF-C,N
Joey Graham,-1.1869548741572329,2.0277224133961926,2.0500444456745037,6.0,16,23.0,College/University,SF,N
Gerald Green,-1.1880928410834404,0.4517823954331458,-0.9092708149022358,14.0,18,19.0,High School,SF,N
Luther Head,-2.6730317411579207,0.18890402990719402,0.6317431648238251,6.0,24,23.0,College/University,PG-SG,N
Julius Hodge,0.9200932092386287,-1.1217968739390884,0.6969637791120578,2.0,20,22.0,College/University,SG-SF,N
Ersan Ilyasova,2.7897980770299604,-3.1770487209989193,-1.0040470589391144,15.0,36,18.0,Other Team/Club,SF,N
Jarrett Jack,-0.7074794278561543,-2.644505567969576,0.5089511416376694,13.0,22,22.0,College/University,PG,N
